City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,90,AR,1538611200,88,-54.81,-68.31,32.0,18.34
1,humaita,0,AR,1538611200,55,-24.93,-65.37,68.0,3.36
2,jardim,20,BR,1538616344,84,-21.48,-56.15,75.09,7.85
3,zlobin,0,HR,1538614800,45,45.29,14.65,62.6,5.82
4,strezhevoy,0,RU,1538613000,76,60.73,77.6,48.2,11.18
5,busselton,0,AU,1538615854,89,-33.64,115.35,65.28,21.27
6,new norfolk,40,AU,1538614800,71,-42.78,147.06,53.6,8.05
7,saint-philippe,90,CA,1538614800,93,45.36,-73.48,51.8,4.7
8,punta arenas,40,CL,1538611200,60,-53.16,-70.91,42.8,10.29
9,winneba,20,GH,1538614800,94,5.35,-0.62,77.0,9.17
10,sobolevo,92,RU,1538616125,98,54.43,31.9,43.59,12.88
11,vaini,8,IN,1538616143,95,15.34,74.49,67.62,2.48
12,rikitea,48,PF,1538616012,100,-23.12,-134.97,67.98,18.03
13,jamestown,8,AU,1538616124,97,-33.21,138.6,50.34,12.21
14,barrow,0,AR,1538615855,32,-38.31,-60.23,52.05,10.54
15,lorengau,8,PG,1538615958,98,-2.02,147.27,84.72,0.92
16,chokurdakh,80,RU,1538615873,99,70.62,147.9,30.63,11.65
17,zhanaozen,48,KZ,1538616347,60,43.35,52.85,68.16,8.3
18,cabinda,92,AO,1538616347,100,-5.56,12.19,76.44,8.08
19,lata,88,IN,1538615955,80,30.78,78.62,47.91,2.04
20,fatehpur,0,PK,1538616347,90,31.18,71.21,65.82,5.84
21,lavrentiya,92,RU,1538616347,90,65.58,-170.99,46.11,24.74
22,port elizabeth,1,US,1538614560,96,39.31,-74.98,68.0,5.28
23,necochea,0,AR,1538616067,58,-38.55,-58.74,49.08,9.31
24,fairbanks,1,US,1538614680,6,64.84,-147.72,59.9,6.93
25,broken hill,32,AU,1538616056,96,-31.97,141.45,57.36,20.27
26,luangwa,0,MZ,1538616348,62,-15.62,30.4,73.02,6.17
27,bethel,90,US,1538614380,89,60.79,-161.76,48.92,12.75
28,lompoc,90,US,1538615340,82,34.64,-120.46,69.98,5.82
29,hasaki,75,JP,1538613000,68,35.73,140.83,71.6,12.75
30,kedrovyy,40,RU,1538613000,93,56.17,91.82,37.4,4.47
31,lasa,0,CY,1538614800,82,34.92,32.53,69.8,6.93
32,east london,88,ZA,1538616148,100,-33.02,27.91,61.41,6.73
33,georgetown,0,GY,1538615869,76,6.8,-58.16,80.94,7.63
34,vanimo,76,PG,1538616166,98,-2.67,141.3,85.71,2.15
35,agadez,12,NE,1538616348,28,16.97,7.99,81.39,6.29
36,verkhnyaya inta,68,RU,1538616349,96,65.99,60.32,41.61,5.61
37,rantauprapat,64,ID,1538616349,93,2.1,99.83,73.29,2.37
38,mar del plata,56,AR,1538616144,45,-46.43,-67.52,53.58,11.43
39,nakhon si thammarat,75,TH,1538614800,88,8.43,99.96,80.6,3.36
40,hofn,92,IS,1538615913,100,64.25,-15.21,43.41,34.58
41,khatanga,80,RU,1538616125,86,71.98,102.47,29.46,10.09
42,ponta do sol,24,BR,1538616163,66,-20.63,-46.0,73.38,2.59
43,albany,40,US,1538614440,86,42.65,-73.75,59.0,1.92
44,tasiilaq,24,GL,1538614200,50,65.61,-37.64,30.2,2.24
45,inhambane,32,MZ,1538616124,100,-23.87,35.38,69.69,12.1
46,sechura,92,PE,1538615900,86,-5.56,-80.82,68.79,11.43
47,coihaique,20,CL,1538611200,65,-45.58,-72.07,44.6,4.61
48,bambous virieux,0,MU,1538615866,92,-20.34,57.76,64.29,6.17
49,hobart,40,AU,1538614800,67,-42.88,147.33,53.6,8.05
50,vila velha,20,BR,1538611200,74,-3.71,-38.6,80.6,8.05
51,ribeira grande,80,PT,1538616131,96,38.52,-28.7,73.38,9.53
52,tiksi,56,RU,1538616137,100,71.64,128.87,20.01,3.49
53,hilo,75,US,1538614560,65,19.71,-155.08,84.02,11.41
54,nikolskoye,75,RU,1538613000,93,59.7,30.79,42.8,13.42
55,opuwo,0,NA,1538615918,36,-18.06,13.84,60.69,3.94
56,lebu,20,ET,1538614800,76,8.96,38.73,51.8,4.7
57,bhuj,12,IN,1538616351,98,23.25,69.67,70.41,6.73
58,caetite,0,BR,1538616351,48,-14.07,-42.48,76.71,9.75
59,carnarvon,0,ZA,1538616177,54,-30.97,22.13,40.98,11.1
60,iqaluit,90,CA,1538614800,100,63.75,-68.52,32.0,19.46
61,santa cruz,90,US,1538615280,87,36.97,-122.03,73.4,5.82
62,saint-francois,0,FR,1538614800,93,46.42,3.91,48.2,5.95
63,narsaq,12,GL,1538614200,59,60.91,-46.05,35.6,5.82
64,bluff,0,AU,1538615858,53,-23.58,149.07,75.63,8.75
65,san cristobal,75,EC,1538611200,87,-0.39,-78.55,53.6,3.36
66,miyako,75,JP,1538613780,83,33.63,130.94,69.8,14.99
67,mukilteo,1,US,1538614560,70,47.95,-122.3,55.04,6.93
68,orlovskiy,68,RU,1538616353,88,46.87,42.05,57.72,10.42
69,thompson,40,CA,1538614800,54,55.74,-97.86,30.2,13.87
70,aklavik,90,CA,1538614800,73,68.22,-135.01,26.6,12.75
71,tambo,92,AU,1538616353,36,-24.88,146.25,75.18,12.66
72,tuatapere,88,NZ,1538615878,100,-46.13,167.69,45.12,11.99
73,kruisfontein,0,ZA,1538616151,94,-34.0,24.73,53.22,4.72
74,norfolk,40,US,1538614740,78,36.85,-76.29,77.36,4.7
75,avarua,40,CK,1538614800,47,-21.21,-159.78,77.0,13.87
76,fallon,20,US,1538614560,18,46.84,-105.12,33.08,6.93
